pk,fk,filename,,,,,
1,1,23.FireFromTheGods-rightnow.m4a,[],[],[],[],
2,1,17.Headstrong-tyfUR6K12RM.opus,[],[],[],[],
3,1,21.corryna,[],[],[],[],
4,1,34.TheAmityAffliction-soakmeinbleach.m4a,[],[],[],[],
5,1,12.Architects-doomsday.m4a,[],[],[],[],
6,1,24.Wage War - Slow Burn-Xt-6LDpzgOw.m4a,[],[],[],[],
7,1,36.Lofi-pilot.mp3,[],[],[],[],
8,1,28.Wage War - Death Roll-kUylqZM4biA.m4a,[],[],[],[],
9,1,0.Wage War - True Colors-V6E1c1xxsaM.m4a,[],[],[],[],
10,1,42.Kmac2021-wolfinsheepsclothing.m4a,[],[],[],[],
11,1,32.Falling In Reverse - 'Drugs'-sRAG2NG5bkQ.m4a,[],[],[],[],
12,1,25.WageWar-alive.m4a,[],[],[],[],
13,1,9.Architects-Meteors.m4a,[],[],[],[],
14,1,15.WageWar-surrounded.m4a,[],[],[],[],
15,1,45.BAD WOLVES 'Learn To Live' Official Music Video-LewUgNvsfWQ.m4a,[],[],[],[],
16,1,47.Lofi-1am.mp3,[],[],[],[],
17,1,1.I Prevail - Every Time You Leave (Official Music Video) ft. Delaney Jane-5KDR0M-Edrg.m4a,[],[],[],[],
18,1,43 War - Relapse-ViFPVC3Jo24.m4a,[],[],[],[],
19,1,44.Wage War - Godspeed-mCPFEN3v-8s.m4a,[],[],[],[],
20,1,38.Bad Wolves - Killing Me Slowly (Official Music Video)-Dhx_SGsuNfE.m4a,[],[],[],[],
21,1,37.WageWar-theriver.m4a,[],[],[],[],
22,1,35.kmac2021-butterfly.opus,[],[],[],[],
23,1,18.TheAmityAffliction-Dontleanonme.opus,[],[],[],[],
24,1,27.Architects-animals.m4a,[],[],[],[],
25,1,39.Falling In Reverse - 'Popular Monster'-jakpo7tj7Qw.opus,[],[],[],[],
26,1,8.I Prevail - Hurricane (Official Music Video)-zhMt7kvgzRM.m4a,[],[],[],[],
27,1,46.Lofi-2am.mp3,[],[],[],[],
28,1,10.TheAmityAffliction-pittsburgh.m4a,[],[],[],[],
29,1,2.Architects-deadbutterflies.opus,[],[],[],[],
30,1,13.Lofi-3am.mp3,[],[],[],[],
31,1,5.Wage War - Never Said Goodbye-kuyRjHhXMyg.opus,[],[],[],[],
32,1,14.I Prevail - Breaking Down (Official Music Video)-6ZkI3ASz8Lg.m4a,[],[],[],[],
33,1,48.IPrevail-scars.m4a,[],[],[],[],
34,1,11.SilentTheory-fragileminds.opus,[],[],[],[],
35,1,3.TheAmityAffliction-dragthelake.opus,[],[],[],[],
36,1,26420ad Wolves - No Masters (Official Music Video)-LE4u5qnJJj8.m4a,[],[],[],[],
37,1,336486age War - If Tomorrow Never Comes-ZjEC816Grj4.m4a,[],[],[],[],
38,1,41.Breaking Benjamin - Angels Fall (Official Lyric Video)-hVl5MtdodLU.m4a,[],[],[],[],
39,1,7.Breaking Benjamin - I Will Not Bow (Official Video)-7qrRzNidzIc.opus,[],[],[],[],
40,1,31.Falling In Reverse - 'I'm Not A Vampire'-ODhMdujZeEY.m4a,[],[],[],[],
41,1,19.Falling In Reverse - 'The Drug In Me Is You'-rgWr2nln83s.m4a,[],[],[],[],
42,1,30.LiL Lotus - 'Think Of Me Tonight'-_BVSiGEyUfY.m4a,[],[],[],[],
43,1,4.Three Days Grace - Home (Official Video)-7NQ8OCcQ3LA.m4a,[],[],[],[],
44,1,29.Three Days Grace - I Am Machine (Lyric)-8Zx6RXGNISk.m4a,[],[],[],[],
45,1,40.Three Days Grace - Just Like You-04fQTmvFfGo.m4a,[],[],[],[],
46,1,20.Three Days Grace - Never Too Late-lL2ZwXj1tXM.opus,[],[],[],[],
47,1,22.Three Days Grace - Riot (Audio)-ixZDTiXiHsc.m4a,[],[],[],[],
48,1,6.Wage War - Circle The Drain-NXn-dI9fFko.m4a,[],[],[],[],
49,1,16.Wage War - Manic (Official Music Video)-1C6lxliErIs.m4a,[],[],[],[],
